OrderID,DisplayCustomer,Customer for OutShipment::CustomerID,ChemistryIDs,OutShipID,OrderID,ChemistryIDs,DisplayCustomer,Location,EstShipDate,TrailerTypeDisplay,Drum CT,TrailerTypes::MaxShipUnits,TrailerTypes::MaxWeight,cNumUnitsOut,cGrossWeight,cQuantity,InvUnit for OutShipment::InvUnitID,UnitTypes for InvUnit for OutShipment::UnitType,InvUnit for OutShipment::Area,MRL for OutShipment InvUnit::MaterialName,InvUnit for OutShipment::Notes,InvUnit for OutShipment::ESAUnit,InvUnit for OutShipment::GrossWeight,InvUnit for OutShipment::Quantity
K001229,BSR-Battery Solutions Recovery LLC,4553,,2112,K001229,,BSR-Battery Solutions Recovery LLC,Howell,05/14/2012,28’ Truck,,8,"17,000 ",14,"15,513 ",,100614,4x4 Pallet,Aisle 1,M-BDT-105 Li-ion Packs,,,"1,098.00 ",
,,,,,,,,,,,,,,,,,100616,4x4 Pallet,Aisle 1,M-BDT-105 Li-ion Packs,,,"1,096.00 ",
,,,,,,,,,,,,,,,,,100617,4x4 Pallet,Aisle 1,M-BDT-105 Li-ion Packs,,,"1,134.00 ",
,,,,,,,,,,,,,,,,,100618,4x4 Pallet,Aisle 1,M-BDT-105 Li-ion Packs,,,"1,139.00 ",
,,,,,,,,,,,,,,,,,100619,4x4 Pallet,Aisle 1,M-BDT-105 Li-ion Packs,,,"1,120.00 ",
,,,,,,,,,,,,,,,,,100620,4x4 Pallet,Aisle 1,M-BDT-105 Li-ion Packs,,,"1,114.00 ",
,,,,,,,,,,,,,,,,,100624,4x4 Pallet,Aisle 1,M-BDT-105 Li-ion Packs,,,"1,095.00 ",
,,,,,,,,,,,,,,,,,100625,4x4 Pallet,Aisle 1,M-BDT-105 Li-ion Packs,,,"1,102.00 ",
,,,,,,,,,,,,,,,,,100629,4x4 Pallet,Aisle 1,M-BDT-105 Li-ion Packs,,,"1,107.00 ",
,,,,,,,,,,,,,,,,,100631,4x4 Pallet,Aisle 1,M-BDT-105 Li-ion Packs,,,"1,103.00 ",
,,,,,,,,,,,,,,,,,100897,4x4 Pallet,Aisle 1,M-BDT-105 Li-ion Packs,,,"1,101.00 ",
,,,,,,,,,,,,,,,,,100903,4x4 Pallet,Aisle 1,M-BDT-105 Li-ion Packs,,,"1,101.00 ",
,,,,,,,,,,,,,,,,,100906,4x4 Pallet,Aisle 1,M-BDT-105 Li-ion Packs,,,"1,104.00 ",
,,,,,,,,,,,,,,,,,100913,4x4 Pallet,Aisle 1,M-BDT-105 Li-ion Packs,,,"1,099.00 ",
