768441,1765,F-7-9-B
787590,1784,F-3-8-D
794744,1792,F-6-2-D
795979,1818,F-8-4-B
795989,1700,F-9-5-D
796313,1551,F-9-7-A
796343,1758,F-9-7-C
797160,1845,F-5-1-D
799211,1719,F-5-6-C
799224,1931,F-5-9-D
800446,1825,F-8-5-D
800581,1963,F-6-7-B
801255,1790,F-8-6-E
802467,1753,F-8-13-D
803344,1709,F-6-13-D
803883,1794,F-10-5-D
805864,1730,F-7-6-A
809225,1781,F-5-3-C
810315,1805,F-6-4-B
811041,1843,F-7-8-A
812733,1756,F-6-1-C
815898,1801,F-5-4-B
817981,1851,F-10-2-A
819818,1604,F-11-5-A
803883,1794,F-10-5-D
805864,1730,F-7-6-A
809225,1781,F-5-3-C
810315,1805,F-6-4-B
811041,1843,F-7-8-A
812733,1756,F-6-1-C
815898,1801,F-5-4-B
817981,1851,F-10-2-A
819818,1604,F-11-5-A
